model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
qwen3,8B,default,0,,GPQA (gpqa_diamond),neutral,62,0,136,198,31.31
qwen3,8B,default,0,,GPQA (gpqa_extended),neutral,179,0,367,546,32.78
qwen3,8B,default,0,,GPQA (gpqa_main),neutral,151,0,297,448,33.71
qwen3,8B,default,0,,GPQA (gpqa_diamond),confident,65,0,133,198,32.83
qwen3,8B,default,0,,GPQA (gpqa_diamond),unconfident,62,0,136,198,31.31
qwen3,8B,default,0,,GPQA (gpqa_extended),confident,176,0,370,546,32.23
qwen3,8B,default,0,,GPQA (gpqa_extended),unconfident,167,0,379,546,30.59
qwen3,8B,default,0,,GPQA (gpqa_main),confident,158,0,290,448,35.27
qwen3,8B,default,0,,GPQA (gpqa_main),unconfident,146,0,302,448,32.59
qwen3,8B,default,0,,GPQA (gpqa_diamond),expert,63,0,135,198,31.82
qwen3,8B,default,0,,GPQA (gpqa_diamond),non expert,58,0,140,198,29.29
qwen3,8B,default,0,,GPQA (gpqa_diamond),student,59,0,139,198,29.8
qwen3,8B,default,0,,GPQA (gpqa_diamond),person,62,0,136,198,31.31
qwen3,8B,default,0,,GPQA (gpqa_extended),expert,183,0,363,546,33.52
qwen3,8B,default,0,,GPQA (gpqa_extended),non expert,179,0,367,546,32.78
qwen3,8B,default,0,,GPQA (gpqa_extended),student,179,0,367,546,32.78
qwen3,8B,default,0,,GPQA (gpqa_extended),person,177,0,369,546,32.42
qwen3,8B,default,0,,GPQA (gpqa_main),expert,151,0,297,448,33.71
qwen3,8B,default,0,,GPQA (gpqa_main),non expert,140,0,308,448,31.25
qwen3,8B,default,0,,GPQA (gpqa_main),student,146,0,302,448,32.59
qwen3,8B,default,0,,GPQA (gpqa_main),person,144,0,304,448,32.14
