model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
qwen3,8B,default,0,,Biology,neutral,296,0,55,351,84.33
qwen3,8B,default,0,,Business,neutral,170,0,390,560,30.36
qwen3,8B,default,0,,Chemistry,neutral,145,0,363,508,28.54
qwen3,8B,default,0,,ComputerScience,neutral,40,0,20,60,66.67
qwen3,8B,default,0,,EECS,neutral,21,0,55,76,27.63
qwen3,8B,default,0,,Economics,neutral,261,0,139,400,65.25
qwen3,8B,default,0,,ElectricCircuits,neutral,25,0,42,67,37.31
qwen3,8B,default,0,,ElectricalMachines,neutral,44,0,58,102,43.14
qwen3,8B,default,0,,Electromagnetics,neutral,31,0,69,100,31.0
qwen3,8B,default,0,,ElectronicCommunications,neutral,43,0,72,115,37.39
qwen3,8B,default,0,,Finance,neutral,28,0,46,74,37.84
qwen3,8B,default,0,,FluidMechanics,neutral,19,0,46,65,29.23
qwen3,8B,default,0,,Genetics,neutral,74,0,73,147,50.34
qwen3,8B,default,0,,HeatTransfer,neutral,27,0,39,66,40.91
qwen3,8B,default,0,,MachineDesign,neutral,17,0,53,70,24.29
qwen3,8B,default,0,,Math,neutral,91,0,253,344,26.45
qwen3,8B,default,0,,Mechanics,neutral,10,0,23,33,30.3
qwen3,8B,default,0,,Optics,neutral,45,0,148,193,23.32
qwen3,8B,default,0,,OrganicChemistry,neutral,5,0,12,17,29.41
qwen3,8B,default,0,,PhysicalChemistry,neutral,70,0,146,216,32.41
qwen3,8B,default,0,,Physics,neutral,148,0,347,495,29.9
qwen3,8B,default,0,,Psychology,neutral,241,0,64,305,79.02
qwen3,8B,default,0,,Thermodynamics,neutral,70,0,99,169,41.42
qwen3,8B,default,0,,TransportPhenomena,neutral,53,0,95,148,35.81
qwen3,8B,default,0,,abstract algebra,neutral,29,0,54,83,34.94
qwen3,8B,default,0,,anatomy,neutral,35,0,44,79,44.3
qwen3,8B,default,0,,astronomy,neutral,49,0,31,80,61.25
qwen3,8B,default,0,,atkins,neutral,22,0,79,101,21.78
qwen3,8B,default,0,,business ethics,neutral,19,0,24,43,44.19
qwen3,8B,default,0,,calculus,neutral,13,0,27,40,32.5
qwen3,8B,default,0,,chemmc,neutral,12,0,21,33,36.36
