model,size,alpha,start,end,TOP,task,role,correct,E_count,invalid,total,accuracy_percentage,suite,refusal_enabled,refusal_label
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),non expert,53,0,145,198,26.77,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),expert,63,0,135,198,31.82,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),confident,62,0,136,198,31.31,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),unconfident,55,0,143,198,27.78,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),neutral,62,0,136,198,31.31,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),non expert,167,0,379,546,30.59,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),expert,168,0,378,546,30.77,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),confident,173,0,373,546,31.68,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),unconfident,164,0,382,546,30.04,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),neutral,166,0,380,546,30.4,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),non expert,132,0,316,448,29.46,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),expert,144,0,304,448,32.14,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),confident,150,0,298,448,33.48,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),unconfident,131,0,317,448,29.24,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),neutral,150,0,298,448,33.48,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),student,60,0,138,198,30.3,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_diamond),person,61,0,137,198,30.81,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),student,176,0,370,546,32.23,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_extended),person,173,0,373,546,31.68,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),student,141,0,307,448,31.47,default,0,
llama3,8B,4,11,20,20,GPQA (gpqa_main),person,146,0,302,448,32.59,default,0,
