model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
llama3,8B,default,0,,Biology,neutral,281,0,70,351,80.06
llama3,8B,default,0,,Business,neutral,152,0,408,560,27.14
llama3,8B,default,0,,Chemistry,neutral,87,0,421,508,17.13
llama3,8B,default,0,,ComputerScience,neutral,38,0,22,60,63.33
llama3,8B,default,0,,EECS,neutral,14,0,62,76,18.42
llama3,8B,default,0,,Economics,neutral,248,0,152,400,62.0
llama3,8B,default,0,,ElectricCircuits,neutral,17,0,50,67,25.37
llama3,8B,default,0,,ElectricalMachines,neutral,29,0,73,102,28.43
llama3,8B,default,0,,Electromagnetics,neutral,23,0,77,100,23.0
llama3,8B,default,0,,ElectronicCommunications,neutral,30,0,85,115,26.09
llama3,8B,default,0,,Finance,neutral,15,0,59,74,20.27
llama3,8B,default,0,,FluidMechanics,neutral,14,0,51,65,21.54
llama3,8B,default,0,,Genetics,neutral,63,0,84,147,42.86
llama3,8B,default,0,,HeatTransfer,neutral,22,0,44,66,33.33
llama3,8B,default,0,,MachineDesign,neutral,13,0,57,70,18.57
llama3,8B,default,0,,Math,neutral,59,0,285,344,17.15
llama3,8B,default,0,,Mechanics,neutral,9,0,24,33,27.27
llama3,8B,default,0,,Optics,neutral,44,0,149,193,22.8
llama3,8B,default,0,,OrganicChemistry,neutral,5,0,12,17,29.41
llama3,8B,default,0,,PhysicalChemistry,neutral,43,0,173,216,19.91
llama3,8B,default,0,,Physics,neutral,107,0,388,495,21.62
llama3,8B,default,0,,Psychology,neutral,239,0,66,305,78.36
llama3,8B,default,0,,Thermodynamics,neutral,45,0,124,169,26.63
llama3,8B,default,0,,TransportPhenomena,neutral,45,0,103,148,30.41
llama3,8B,default,0,,abstract algebra,neutral,20,0,63,83,24.1
llama3,8B,default,0,,anatomy,neutral,33,0,46,79,41.77
llama3,8B,default,0,,astronomy,neutral,35,0,45,80,43.75
llama3,8B,default,0,,atkins,neutral,21,0,80,101,20.79
llama3,8B,default,0,,business ethics,neutral,20,0,23,43,46.51
llama3,8B,default,0,,calculus,neutral,8,0,32,40,20.0
llama3,8B,default,0,,chemmc,neutral,11,0,22,33,33.33
llama3,8B,default,0,,class,neutral,7,0,38,45,15.56
llama3,8B,default,0,,clinical knowledge,neutral,37,0,35,72,51.39
llama3,8B,default,0,,college biology,neutral,42,0,37,79,53.16
llama3,8B,default,0,,college chemistry,neutral,22,0,41,63,34.92
llama3,8B,default,0,,college computer science,neutral,27,0,49,76,35.53
llama3,8B,default,0,,college mathematics,neutral,15,0,59,74,20.27
llama3,8B,default,0,,college medicine,neutral,24,0,24,48,50.0
llama3,8B,default,0,,college physics,neutral,18,0,50,68,26.47
llama3,8B,default,0,,computer security,neutral,20,0,26,46,43.48
llama3,8B,default,0,,conceptual physics,neutral,54,0,82,136,39.71
llama3,8B,default,0,,diff,neutral,13,0,37,50,26.0
llama3,8B,default,0,,econometrics,neutral,25,0,60,85,29.41
llama3,8B,default,0,,electrical engineering,neutral,22,0,45,67,32.84
llama3,8B,default,0,,elementary mathematics,neutral,74,0,230,304,24.34
llama3,8B,default,0,,formal logic,neutral,30,0,68,98,30.61
llama3,8B,default,0,,fund,neutral,10,0,57,67,14.93
llama3,8B,default,0,,global facts,neutral,16,0,68,84,19.05
