model,size,suite,refusal_enabled,refusal_label,task,role,correct,E_count,invalid,total,accuracy_percentage
llama3,8B,default,0,,FACTOR Expert (MC4),neutral,183,0,53,236,77.54
llama3,8B,default,0,,FACTOR News (MC4),neutral,714,0,322,1036,68.92
llama3,8B,default,0,,FACTOR Wiki (MC4),neutral,2047,0,947,2994,68.37
llama3,8B,default,0,,FACTOR Expert (MC4),confident,182,0,54,236,77.12
llama3,8B,default,0,,FACTOR Expert (MC4),unconfident,111,0,125,236,47.03
llama3,8B,default,0,,FACTOR News (MC4),confident,700,0,336,1036,67.57
llama3,8B,default,0,,FACTOR News (MC4),unconfident,557,0,479,1036,53.76
llama3,8B,default,0,,FACTOR Wiki (MC4),confident,2038,0,956,2994,68.07
llama3,8B,default,0,,FACTOR Wiki (MC4),unconfident,1631,0,1363,2994,54.48
llama3,8B,default,0,,FACTOR Expert (MC4),expert,186,0,50,236,78.81
llama3,8B,default,0,,FACTOR Expert (MC4),non expert,184,0,52,236,77.97
llama3,8B,default,0,,FACTOR Expert (MC4),student,188,0,48,236,79.66
llama3,8B,default,0,,FACTOR Expert (MC4),person,189,0,47,236,80.08
llama3,8B,default,0,,FACTOR News (MC4),expert,699,0,337,1036,67.47
llama3,8B,default,0,,FACTOR News (MC4),non expert,709,0,327,1036,68.44
llama3,8B,default,0,,FACTOR News (MC4),student,723,0,313,1036,69.79
llama3,8B,default,0,,FACTOR News (MC4),person,709,0,327,1036,68.44
llama3,8B,default,0,,FACTOR Wiki (MC4),expert,2049,0,945,2994,68.44
llama3,8B,default,0,,FACTOR Wiki (MC4),non expert,2026,0,968,2994,67.67
llama3,8B,default,0,,FACTOR Wiki (MC4),student,2053,0,941,2994,68.57
llama3,8B,default,0,,FACTOR Wiki (MC4),person,2052,0,942,2994,68.54
